date,district,n
2022-11-09,Kengtung,10
2022-11-09,Laukkaing,1
2022-11-09,Maungdaw,2
2022-11-09,Muse,19
2022-11-09,Myawaddy,672
2022-11-09,Myeik,4
2022-11-09,Sittwe,1
2022-11-09,Tachileik,245
2022-11-09,Tamu,27
2022-11-10,Falam,3
2022-11-10,Kawthoung,13
2022-11-10,Kengtung,31
2022-11-10,Laukkaing,1
2022-11-10,Maungdaw,4
2022-11-10,Muse,9
2022-11-10,Myawaddy,626
2022-11-10,Myeik,9
2022-11-10,Sittwe,3
2022-11-10,Tachileik,221
2022-11-10,Tamu,26
2022-11-11,Bawlake,1
2022-11-11,Falam,6
2022-11-11,Kawthoung,15
2022-11-11,Kengtung,23
2022-11-11,Laukkaing,44
2022-11-11,Maungdaw,2
2022-11-11,Muse,5
2022-11-11,Myawaddy,553
2022-11-11,Myeik,6
2022-11-11,Sittwe,2
2022-11-11,Tachileik,269
2022-11-11,Tamu,22
2022-11-12,Falam,4
2022-11-12,Hakha,1
2022-11-12,Kawthoung,19
2022-11-12,Kengtung,5
2022-11-12,Laukkaing,1
2022-11-12,Maungdaw,1
2022-11-12,Muse,5
2022-11-12,Myawaddy,857
2022-11-12,Myeik,8
2022-11-12,Sittwe,3
2022-11-12,Tachileik,278
2022-11-12,Tamu,24
2022-11-13,Bawlake,3
2022-11-13,Falam,5
2022-11-13,Hakha,1
2022-11-13,Kawthoung,29
2022-11-13,Kengtung,10
2022-11-13,Laukkaing,1
2022-11-13,Maungdaw,2
2022-11-13,Muse,6
2022-11-13,Myawaddy,805
2022-11-13,Myeik,4
2022-11-13,Sittwe,2
2022-11-13,Tachileik,285
2022-11-13,Tamu,21
2022-11-14,Falam,4
2022-11-14,Hakha,2
2022-11-14,Kawthoung,25
2022-11-14,Kengtung,17
2022-11-14,Maungdaw,4
2022-11-14,Muse,3
2022-11-14,Myawaddy,515
2022-11-14,Myeik,6
2022-11-14,Sittwe,3
2022-11-14,Tachileik,295
2022-11-14,Tamu,27
2022-11-15,Falam,4
2022-11-15,Kawthoung,19
2022-11-15,Kengtung,35
2022-11-15,Laukkaing,1
2022-11-15,Maungdaw,6
2022-11-15,Muse,7
2022-11-15,Myawaddy,597
2022-11-15,Myeik,4
2022-11-15,Sittwe,2
2022-11-15,Tachileik,282
2022-11-15,Tamu,23
2022-11-16,Falam,5
2022-11-16,Hakha,1
2022-11-16,Kawthoung,20
2022-11-16,Kengtung,88
2022-11-16,Maungdaw,5
2022-11-16,Muse,11
2022-11-16,Myawaddy,769
2022-11-16,Myeik,4
2022-11-16,Sittwe,3
2022-11-16,Tachileik,290
2022-11-16,Tamu,33
2022-11-17,Falam,6
2022-11-17,Kawthoung,32
2022-11-17,Kengtung,96
2022-11-17,Laukkaing,4
2022-11-17,Maungdaw,5
2022-11-17,Muse,6
2022-11-17,Myawaddy,678
2022-11-17,Myeik,1
2022-11-17,Sittwe,1
2022-11-17,Tachileik,354
2022-11-17,Tamu,39
2022-11-18,Falam,5
2022-11-18,Kawthoung,22
2022-11-18,Kengtung,72
2022-11-18,Laukkaing,20
2022-11-18,Maungdaw,5
2022-11-18,Muse,9
2022-11-18,Myawaddy,553
2022-11-18,Myeik,4
2022-11-18,Sittwe,1
2022-11-18,Tachileik,327
2022-11-18,Tamu,31
2022-11-19,Falam,4
2022-11-19,Kawthoung,29
2022-11-19,Kengtung,3
2022-11-19,Maungdaw,3
2022-11-19,Muse,7
2022-11-19,Myawaddy,534
2022-11-19,Myeik,5
2022-11-19,Sittwe,1
2022-11-19,Tachileik,338
2022-11-19,Tamu,28
2022-11-20,Falam,4
2022-11-20,Kawthoung,37
2022-11-20,Kengtung,2
2022-11-20,Maungdaw,5
2022-11-20,Muse,7
2022-11-20,Myawaddy,541
2022-11-20,Myeik,19
2022-11-20,Sittwe,2
2022-11-20,Tachileik,301
2022-11-20,Tamu,32
2022-11-21,Falam,8
2022-11-21,Kawthoung,29
2022-11-21,Kengtung,7
2022-11-21,Laukkaing,1
2022-11-21,Maungdaw,5
2022-11-21,Muse,19
2022-11-21,Myawaddy,928
2022-11-21,Myeik,6
2022-11-21,Sittwe,1
2022-11-21,Tachileik,295
2022-11-21,Tamu,28
2022-11-22,Bawlake,1
2022-11-22,Falam,8
2022-11-22,Kawthoung,27
2022-11-22,Kengtung,5
2022-11-22,Laukkaing,1
2022-11-22,Maungdaw,5
2022-11-22,Muse,9
2022-11-22,Myawaddy,649
2022-11-22,Myeik,7
2022-11-22,Sittwe,1
2022-11-22,Tachileik,260
2022-11-22,Tamu,24
2022-11-23,Bawlake,1
2022-11-23,Falam,7
2022-11-23,Hakha,1
2022-11-23,Kawthoung,32
2022-11-23,Kengtung,17
2022-11-23,Laukkaing,1
2022-11-23,Maungdaw,6
2022-11-23,Muse,7
2022-11-23,Myawaddy,559
2022-11-23,Myeik,4
2022-11-23,Sittwe,2
2022-11-23,Tachileik,281
2022-11-23,Tamu,28
2022-11-24,Falam,8
2022-11-24,Hakha,1
2022-11-24,Kawthoung,30
2022-11-24,Kengtung,20
2022-11-24,Laukkaing,14
2022-11-24,Maungdaw,4
2022-11-24,Muse,30
2022-11-24,Myawaddy,651
2022-11-24,Myeik,7
2022-11-24,Sittwe,1
2022-11-24,Tachileik,245
2022-11-24,Tamu,24
2022-11-25,Falam,8
2022-11-25,Hakha,1
2022-11-25,Kawthoung,27
2022-11-25,Kengtung,1
2022-11-25,Maungdaw,7
2022-11-25,Muse,18
2022-11-25,Myawaddy,712
2022-11-25,Myeik,5
2022-11-25,Sittwe,3
2022-11-25,Tachileik,291
2022-11-25,Tamu,29
2022-11-26,Falam,9
2022-11-26,Kawthoung,26
2022-11-26,Kengtung,19
2022-11-26,Maungdaw,8
2022-11-26,Muse,45
2022-11-26,Myawaddy,612
2022-11-26,Myeik,4
2022-11-26,Sittwe,5
2022-11-26,Tachileik,331
2022-11-26,Tamu,22
2022-11-27,Falam,8
2022-11-27,Kawthoung,43
2022-11-27,Kengtung,1
2022-11-27,Maungdaw,10
2022-11-27,Muse,5
2022-11-27,Myawaddy,516
2022-11-27,Myeik,8
2022-11-27,Sittwe,4
2022-11-27,Tachileik,303
2022-11-27,Tamu,27
2022-11-28,Falam,9
2022-11-28,Kawthoung,34
2022-11-28,Kengtung,51
2022-11-28,Maungdaw,3
2022-11-28,Muse,6
2022-11-28,Myawaddy,566
2022-11-28,Myeik,7
2022-11-28,Sittwe,5
2022-11-28,Tachileik,335
2022-11-28,Tamu,31
2022-11-29,Falam,8
2022-11-29,Kawthoung,38
2022-11-29,Kengtung,95
2022-11-29,Maungdaw,5
2022-11-29,Muse,14
2022-11-29,Myawaddy,726
2022-11-29,Myeik,7
2022-11-29,Myitkyina,9
2022-11-29,Sittwe,4
2022-11-29,Tachileik,317
2022-11-29,Tamu,26
2022-11-30,Bawlake,1
2022-11-30,Falam,7
2022-11-30,Kawthoung,33
2022-11-30,Kengtung,83
2022-11-30,Maungdaw,4
2022-11-30,Muse,9
2022-11-30,Myawaddy,760
2022-11-30,Myeik,4
2022-11-30,Myitkyina,2
2022-11-30,Sittwe,3
2022-11-30,Tachileik,311
2022-11-30,Tamu,22
2022-12-01,Falam,5
2022-12-01,Kawthoung,35
2022-12-01,Kengtung,35
2022-12-01,Maungdaw,6
2022-12-01,Muse,12
2022-12-01,Myawaddy,604
2022-12-01,Myeik,4
2022-12-01,Myitkyina,1
2022-12-01,Sittwe,5
2022-12-01,Tachileik,279
2022-12-01,Tamu,25
2022-12-02,Falam,3
2022-12-02,Kawthoung,38
2022-12-02,Kengtung,27
2022-12-02,Maungdaw,2
2022-12-02,Muse,21
2022-12-02,Myawaddy,557
2022-12-02,Myeik,4
2022-12-02,Myitkyina,1
2022-12-02,Sittwe,3
2022-12-02,Tachileik,298
2022-12-02,Tamu,15
2022-12-03,Falam,5
2022-12-03,Kawthoung,23
2022-12-03,Kengtung,32
2022-12-03,Maungdaw,4
2022-12-03,Muse,12
2022-12-03,Myawaddy,452
2022-12-03,Myeik,11
2022-12-03,Myitkyina,3
2022-12-03,Sittwe,6
2022-12-03,Tachileik,277
2022-12-03,Tamu,24
2022-12-04,Falam,6
2022-12-04,Kawthoung,26
2022-12-04,Kengtung,5
2022-12-04,Maungdaw,4
2022-12-04,Muse,12
2022-12-04,Myawaddy,480
2022-12-04,Myeik,7
2022-12-04,Myitkyina,4
2022-12-04,Sittwe,4
2022-12-04,Tachileik,317
2022-12-04,Tamu,16
2022-12-05,Falam,20
2022-12-05,Kawthoung,23
2022-12-05,Kengtung,7
2022-12-05,Maungdaw,5
2022-12-05,Muse,6
2022-12-05,Myawaddy,394
2022-12-05,Myeik,5
2022-12-05,Sittwe,4
2022-12-05,Tachileik,281
2022-12-05,Tamu,20
2022-12-06,Falam,9
2022-12-06,Kawthoung,25
2022-12-06,Kengtung,6
2022-12-06,Maungdaw,5
2022-12-06,Muse,7
2022-12-06,Myawaddy,427
2022-12-06,Myeik,13
2022-12-06,Sittwe,4
2022-12-06,Tachileik,261
2022-12-06,Tamu,18
2022-12-07,Falam,7
2022-12-07,Kawthoung,17
2022-12-07,Kengtung,6
2022-12-07,Laukkaing,1
2022-12-07,Maungdaw,4
2022-12-07,Muse,25
2022-12-07,Myawaddy,505
2022-12-07,Myeik,5
2022-12-07,Sittwe,3
2022-12-07,Tachileik,281
2022-12-07,Tamu,19
2022-12-08,Falam,5
2022-12-08,Kawthoung,15
2022-12-08,Kengtung,5
2022-12-08,Laukkaing,2
2022-12-08,Maungdaw,3
2022-12-08,Muse,13
2022-12-08,Myawaddy,494
2022-12-08,Myeik,8
2022-12-08,Sittwe,2
2022-12-08,Tachileik,266
2022-12-08,Tamu,23
2022-12-09,Falam,4
2022-12-09,Kawthoung,16
2022-12-09,Kengtung,12
2022-12-09,Laukkaing,2
2022-12-09,Maungdaw,4
2022-12-09,Muse,6
2022-12-09,Myawaddy,499
2022-12-09,Myeik,7
2022-12-09,Sittwe,3
2022-12-09,Tachileik,299
2022-12-09,Tamu,24
2022-12-10,Falam,13
2022-12-10,Kawthoung,20
2022-12-10,Kengtung,18
2022-12-10,Laukkaing,1
2022-12-10,Maungdaw,7
2022-12-10,Muse,19
2022-12-10,Myawaddy,498
2022-12-10,Myeik,7
2022-12-10,Sittwe,4
2022-12-10,Tachileik,321
2022-12-10,Tamu,24
2022-12-11,Falam,4
2022-12-11,Kawthoung,19
2022-12-11,Kengtung,15
2022-12-11,Laukkaing,1
2022-12-11,Maungdaw,3
2022-12-11,Muse,14
2022-12-11,Myawaddy,600
2022-12-11,Myeik,7
2022-12-11,Sittwe,4
2022-12-11,Tachileik,266
2022-12-11,Tamu,21
2022-12-12,Falam,6
2022-12-12,Kawthoung,17
2022-12-12,Kengtung,19
2022-12-12,Laukkaing,1
2022-12-12,Maungdaw,4
2022-12-12,Muse,6
2022-12-12,Myawaddy,625
2022-12-12,Myeik,8
2022-12-12,Sittwe,5
2022-12-12,Tachileik,242
2022-12-12,Tamu,17
2022-12-13,Falam,5
2022-12-13,Kawthoung,16
2022-12-13,Kengtung,5
2022-12-13,Laukkaing,1
2022-12-13,Maungdaw,3
2022-12-13,Muse,3
2022-12-13,Myawaddy,581
2022-12-13,Myeik,8
2022-12-13,Sittwe,4
2022-12-13,Tachileik,247
2022-12-13,Tamu,18
2022-12-14,Bawlake,1
2022-12-14,Falam,5
2022-12-14,Kawthoung,15
2022-12-14,Kengtung,4
2022-12-14,Laukkaing,1
2022-12-14,Maungdaw,3
2022-12-14,Muse,3
2022-12-14,Myawaddy,466
2022-12-14,Myeik,9
2022-12-14,Sittwe,2
2022-12-14,Tachileik,268
2022-12-14,Tamu,18
2022-12-15,Falam,7
2022-12-15,Hakha,1
2022-12-15,Kawthoung,15
2022-12-15,Kengtung,21
2022-12-15,Maungdaw,4
2022-12-15,Muse,7
2022-12-15,Myawaddy,524
2022-12-15,Myeik,8
2022-12-15,Sittwe,3
2022-12-15,Tachileik,279
2022-12-15,Tamu,18
2022-12-16,Falam,7
2022-12-16,Hakha,1
2022-12-16,Kawthoung,18
2022-12-16,Kengtung,16
2022-12-16,Laukkaing,17
2022-12-16,Maungdaw,4
2022-12-16,Muse,26
2022-12-16,Myawaddy,623
2022-12-16,Myeik,9
2022-12-16,Sittwe,4
2022-12-16,Tachileik,305
2022-12-16,Tamu,17
2022-12-17,Bawlake,1
2022-12-17,Falam,10
2022-12-17,Hakha,1
2022-12-17,Kawthoung,18
2022-12-17,Kengtung,20
2022-12-17,Laukkaing,2
2022-12-17,Maungdaw,8
2022-12-17,Muse,25
2022-12-17,Myawaddy,617
2022-12-17,Myeik,10
2022-12-17,Sittwe,4
2022-12-17,Tachileik,324
2022-12-17,Tamu,26
2022-12-18,Bawlake,1
2022-12-18,Falam,7
2022-12-18,Hakha,1
2022-12-18,Kawthoung,22
2022-12-18,Kengtung,39
2022-12-18,Laukkaing,25
2022-12-18,Maungdaw,7
2022-12-18,Muse,13
2022-12-18,Myawaddy,531
2022-12-18,Myeik,3
2022-12-18,Sittwe,4
2022-12-18,Tachileik,316
2022-12-18,Tamu,27
2022-12-19,Falam,4
2022-12-19,Kawthoung,8
2022-12-19,Kengtung,35
2022-12-19,Laukkaing,2
2022-12-19,Maungdaw,2
2022-12-19,Muse,12
2022-12-19,Myawaddy,489
2022-12-19,Myeik,5
2022-12-19,Sittwe,3
2022-12-19,Tachileik,328
2022-12-19,Tamu,25
2022-12-20,Falam,7
2022-12-20,Kawthoung,13
2022-12-20,Kengtung,55
2022-12-20,Laukkaing,1
2022-12-20,Maungdaw,5
2022-12-20,Muse,12
2022-12-20,Myawaddy,454
2022-12-20,Myeik,5
2022-12-20,Sittwe,3
2022-12-20,Tachileik,244
2022-12-20,Tamu,25
2022-12-21,Falam,6
2022-12-21,Kawthoung,14
2022-12-21,Kengtung,19
2022-12-21,Maungdaw,3
2022-12-21,Muse,8
2022-12-21,Myawaddy,438
2022-12-21,Myeik,6
2022-12-21,Sittwe,1
2022-12-21,Tachileik,346
2022-12-21,Tamu,17
2022-12-22,Falam,7
2022-12-22,Kawthoung,16
2022-12-22,Kengtung,5
2022-12-22,Maungdaw,4
2022-12-22,Muse,9
2022-12-22,Myawaddy,613
2022-12-22,Myeik,8
2022-12-22,Sittwe,3
2022-12-22,Tachileik,325
2022-12-22,Tamu,18
2022-12-23,Falam,10
2022-12-23,Kawthoung,13
2022-12-23,Kengtung,5
2022-12-23,Maungdaw,4
2022-12-23,Muse,2
2022-12-23,Myawaddy,819
2022-12-23,Myeik,9
2022-12-23,Sittwe,4
2022-12-23,Tachileik,287
2022-12-23,Tamu,21
2022-12-24,Falam,12
2022-12-24,Hakha,1
2022-12-24,Kawthoung,9
2022-12-24,Kengtung,3
2022-12-24,Maungdaw,7
2022-12-24,Muse,3
2022-12-24,Myawaddy,781
2022-12-24,Myeik,12
2022-12-24,Sittwe,5
2022-12-24,Tachileik,287
2022-12-24,Tamu,21
2022-12-25,Falam,13
2022-12-25,Hakha,1
2022-12-25,Kawthoung,18
2022-12-25,Kengtung,2
2022-12-25,Maungdaw,4
2022-12-25,Muse,2
2022-12-25,Myawaddy,583
2022-12-25,Myeik,7
2022-12-25,Sittwe,19
2022-12-25,Tachileik,311
2022-12-25,Tamu,19
2022-12-26,Falam,13
2022-12-26,Hakha,1
2022-12-26,Kawthoung,19
2022-12-26,Kengtung,21
2022-12-26,Maungdaw,10
2022-12-26,Muse,7
2022-12-26,Myawaddy,648
2022-12-26,Myeik,4
2022-12-26,Sittwe,5
2022-12-26,Tachileik,332
2022-12-26,Tamu,25
2022-12-27,Falam,14
2022-12-27,Kawthoung,11
2022-12-27,Kengtung,15
2022-12-27,Maungdaw,6
2022-12-27,Muse,2
2022-12-27,Myawaddy,586
2022-12-27,Myeik,5
2022-12-27,Sittwe,6
2022-12-27,Tachileik,292
2022-12-27,Tamu,24
2022-12-28,Falam,14
2022-12-28,Kawthoung,24
2022-12-28,Kengtung,19
2022-12-28,Maungdaw,6
2022-12-28,Muse,16
2022-12-28,Myawaddy,627
2022-12-28,Myeik,6
2022-12-28,Sittwe,7
2022-12-28,Tachileik,284
2022-12-28,Tamu,25
2022-12-29,Falam,14
2022-12-29,Kawthoung,31
2022-12-29,Kengtung,6
2022-12-29,Maungdaw,5
2022-12-29,Muse,7
2022-12-29,Myawaddy,613
2022-12-29,Myeik,4
2022-12-29,Sittwe,7
2022-12-29,Tachileik,270
2022-12-29,Tamu,31
2022-12-30,Falam,12
2022-12-30,Kawthoung,53
2022-12-30,Kengtung,5
2022-12-30,Maungdaw,4
2022-12-30,Muse,3
2022-12-30,Myawaddy,519
2022-12-30,Myeik,6
2022-12-30,Sittwe,7
2022-12-30,Tachileik,322
2022-12-30,Tamu,39
2022-12-31,Falam,10
2022-12-31,Kawthoung,27
2022-12-31,Kengtung,2
2022-12-31,Maungdaw,7
2022-12-31,Muse,9
2022-12-31,Myawaddy,522
2022-12-31,Myeik,9
2022-12-31,Sittwe,15
2022-12-31,Tachileik,369
2022-12-31,Tamu,38
2023-01-01,Falam,7
2023-01-01,Kawthoung,37
2023-01-01,Kengtung,1
2023-01-01,Maungdaw,1
2023-01-01,Muse,9
2023-01-01,Myawaddy,466
2023-01-01,Myeik,17
2023-01-01,Sittwe,5
2023-01-01,Tachileik,281
2023-01-01,Tamu,23
2023-01-02,Falam,6
2023-01-02,Kawthoung,57
2023-01-02,Kengtung,3
2023-01-02,Maungdaw,4
2023-01-02,Muse,6
2023-01-02,Myawaddy,503
2023-01-02,Myeik,5
2023-01-02,Sittwe,18
2023-01-02,Tachileik,263
2023-01-02,Tamu,22
2023-01-03,Falam,8
2023-01-03,Kawthoung,33
2023-01-03,Kengtung,15
2023-01-03,Maungdaw,7
2023-01-03,Muse,5
2023-01-03,Myawaddy,545
2023-01-03,Myeik,8
2023-01-03,Sittwe,8
2023-01-03,Tachileik,318
2023-01-03,Tamu,20
2023-01-04,Falam,8
2023-01-04,Kawthoung,20
2023-01-04,Kengtung,5
2023-01-04,Muse,10
2023-01-04,Myawaddy,581
2023-01-04,Myeik,11
2023-01-04,Sittwe,5
2023-01-04,Tachileik,335
2023-01-04,Tamu,17
2023-01-05,Falam,7
2023-01-05,Kawthoung,18
2023-01-05,Kengtung,1
2023-01-05,Maungdaw,2
2023-01-05,Muse,14
2023-01-05,Myawaddy,548
2023-01-05,Myeik,11
2023-01-05,Sittwe,11
2023-01-05,Tachileik,295
2023-01-05,Tamu,18
2023-01-06,Falam,10
2023-01-06,Kawthoung,21
2023-01-06,Kengtung,1
2023-01-06,Laukkaing,4
2023-01-06,Muse,9
2023-01-06,Myawaddy,644
2023-01-06,Myeik,12
2023-01-06,Sittwe,6
2023-01-06,Tachileik,301
2023-01-06,Tamu,14
2023-01-07,Falam,8
2023-01-07,Kawthoung,15
2023-01-07,Kengtung,33
2023-01-07,Maungdaw,5
2023-01-07,Muse,9
2023-01-07,Myawaddy,635
2023-01-07,Myeik,6
2023-01-07,Sittwe,8
2023-01-07,Tachileik,239
2023-01-07,Tamu,20
2023-01-08,Falam,7
2023-01-08,Kawthoung,18
2023-01-08,Kengtung,23
2023-01-08,Maungdaw,7
2023-01-08,Muse,13
2023-01-08,Myawaddy,630
2023-01-08,Myeik,12
2023-01-08,Sittwe,9
2023-01-08,Tachileik,222
2023-01-08,Tamu,15
2023-01-09,Falam,11
2023-01-09,Kawthoung,30
2023-01-09,Kengtung,32
2023-01-09,Maungdaw,3
2023-01-09,Muse,26
2023-01-09,Myawaddy,607
2023-01-09,Myeik,5
2023-01-09,Sittwe,6
2023-01-09,Tachileik,256
2023-01-09,Tamu,22
2023-01-10,Falam,7
2023-01-10,Kawthoung,21
2023-01-10,Kengtung,35
2023-01-10,Laukkaing,31
2023-01-10,Maungdaw,1
2023-01-10,Muse,35
2023-01-10,Myawaddy,651
2023-01-10,Myeik,10
2023-01-10,Sittwe,6
2023-01-10,Tachileik,269
2023-01-10,Tamu,13
2023-01-11,Bhamo,1
2023-01-11,Falam,7
2023-01-11,Hakha,1
2023-01-11,Kawthoung,20
2023-01-11,Kengtung,48
2023-01-11,Maungdaw,3
2023-01-11,Muse,44
2023-01-11,Myawaddy,588
2023-01-11,Myeik,10
2023-01-11,Sittwe,6
2023-01-11,Tachileik,250
2023-01-11,Tamu,13
2023-01-12,Falam,4
2023-01-12,Kawthoung,27
2023-01-12,Kengtung,17
2023-01-12,Maungdaw,1
2023-01-12,Muse,19
2023-01-12,Myawaddy,559
2023-01-12,Myeik,7
2023-01-12,Sittwe,7
2023-01-12,Tachileik,260
2023-01-12,Tamu,19
2023-01-13,Falam,3
2023-01-13,Kawthoung,18
2023-01-13,Kengtung,3
2023-01-13,Laukkaing,20
2023-01-13,Muse,12
2023-01-13,Myawaddy,614
2023-01-13,Myeik,13
2023-01-13,Sittwe,4
2023-01-13,Tachileik,271
2023-01-13,Tamu,7
2023-01-14,Falam,5
2023-01-14,Hakha,1
2023-01-14,Kawthoung,16
2023-01-14,Kengtung,39
2023-01-14,Laukkaing,9
2023-01-14,Muse,20
2023-01-14,Myawaddy,562
2023-01-14,Myeik,7
2023-01-14,Sittwe,5
2023-01-14,Tachileik,294
2023-01-14,Tamu,10
2023-01-15,Falam,6
2023-01-15,Kawthoung,18
2023-01-15,Kengtung,55
2023-01-15,Maungdaw,2
2023-01-15,Muse,22
2023-01-15,Myawaddy,631
2023-01-15,Myeik,19
2023-01-15,Sittwe,7
2023-01-15,Tachileik,293
2023-01-15,Tamu,14
2023-01-16,Falam,4
2023-01-16,Kawthoung,18
2023-01-16,Kengtung,5
2023-01-16,Maungdaw,4
2023-01-16,Muse,7
2023-01-16,Myawaddy,584
2023-01-16,Myeik,11
2023-01-16,Sittwe,6
2023-01-16,Tachileik,333
2023-01-16,Tamu,16
2023-01-17,Falam,5
2023-01-17,Kawthoung,13
2023-01-17,Kengtung,8
2023-01-17,Maungdaw,3
2023-01-17,Muse,14
2023-01-17,Myawaddy,762
2023-01-17,Myeik,8
2023-01-17,Sittwe,7
2023-01-17,Tachileik,366
2023-01-17,Tamu,14
2023-01-18,Falam,4
2023-01-18,Kawthoung,12
2023-01-18,Kengtung,17
2023-01-18,Maungdaw,1
2023-01-18,Muse,9
2023-01-18,Myawaddy,695
2023-01-18,Myeik,7
2023-01-18,Sittwe,6
2023-01-18,Tachileik,312
2023-01-18,Tamu,11
2023-01-19,Falam,4
2023-01-19,Kawthoung,15
2023-01-19,Kengtung,11
2023-01-19,Maungdaw,2
2023-01-19,Muse,19
2023-01-19,Myawaddy,661
2023-01-19,Myeik,9
2023-01-19,Sittwe,6
2023-01-19,Tachileik,291
2023-01-19,Tamu,14
2023-01-20,Falam,5
2023-01-20,Kawthoung,23
2023-01-20,Kengtung,18
2023-01-20,Laukkaing,17
2023-01-20,Maungdaw,1
2023-01-20,Muse,26
2023-01-20,Myawaddy,1205
2023-01-20,Myeik,12
2023-01-20,Sittwe,9
2023-01-20,Tachileik,606
2023-01-20,Tamu,14
2023-01-21,Falam,5
2023-01-21,Kawthoung,32
2023-01-21,Kengtung,3
2023-01-21,Maungdaw,3
2023-01-21,Muse,13
2023-01-21,Myawaddy,1354
2023-01-21,Myeik,12
2023-01-21,Sittwe,7
2023-01-21,Tachileik,1250
2023-01-21,Tamu,16
2023-01-22,Falam,5
2023-01-22,Kawthoung,13
2023-01-22,Kengtung,30
2023-01-22,Laukkaing,22
2023-01-22,Maungdaw,3
2023-01-22,Muse,12
2023-01-22,Myawaddy,1142
2023-01-22,Myeik,21
2023-01-22,Sittwe,8
2023-01-22,Tachileik,1116
2023-01-22,Tamu,13
2023-01-23,Falam,4
2023-01-23,Kawthoung,7
2023-01-23,Kengtung,30
2023-01-23,Maungdaw,2
2023-01-23,Muse,19
2023-01-23,Myawaddy,944
2023-01-23,Myeik,10
2023-01-23,Sittwe,7
2023-01-23,Tachileik,531
2023-01-23,Tamu,14
2023-01-24,Falam,3
2023-01-24,Kawthoung,26
2023-01-24,Kengtung,31
2023-01-24,Laukkaing,1
2023-01-24,Maungdaw,4
2023-01-24,Muse,32
2023-01-24,Myawaddy,1385
2023-01-24,Myeik,11
2023-01-24,Sittwe,7
2023-01-24,Tachileik,1106
2023-01-24,Tamu,15
2023-01-25,Falam,3
2023-01-25,Kawthoung,19
2023-01-25,Kengtung,17
2023-01-25,Laukkaing,22
2023-01-25,Maungdaw,2
2023-01-25,Muse,12
2023-01-25,Myawaddy,1041
2023-01-25,Myeik,16
2023-01-25,Sittwe,7
2023-01-25,Tachileik,732
2023-01-25,Tamu,10
2023-01-26,Falam,5
2023-01-26,Kawthoung,8
2023-01-26,Kengtung,4
2023-01-26,Maungdaw,1
2023-01-26,Muse,6
2023-01-26,Myawaddy,1080
2023-01-26,Myeik,11
2023-01-26,Sittwe,11
2023-01-26,Tachileik,483
2023-01-26,Tamu,12
2023-01-27,Falam,5
2023-01-27,Kawthoung,22
2023-01-27,Kengtung,4
2023-01-27,Maungdaw,3
2023-01-27,Muse,20
2023-01-27,Myawaddy,885
2023-01-27,Myeik,11
2023-01-27,Sittwe,10
2023-01-27,Tachileik,493
2023-01-27,Tamu,14
2023-01-28,Falam,6
2023-01-28,Kawthoung,20
2023-01-28,Kengtung,69
2023-01-28,Laukkaing,20
2023-01-28,Maungdaw,2
2023-01-28,Muse,48
2023-01-28,Myawaddy,1002
2023-01-28,Myeik,11
2023-01-28,Sittwe,8
2023-01-28,Tachileik,563
2023-01-28,Tamu,12
2023-01-29,Falam,4
2023-01-29,Kawthoung,12
2023-01-29,Kengtung,77
2023-01-29,Laukkaing,38
2023-01-29,Maungdaw,2
2023-01-29,Muse,40
2023-01-29,Myawaddy,1685
2023-01-29,Myeik,9
2023-01-29,Myitkyina,9
2023-01-29,Sittwe,6
2023-01-29,Tachileik,1084
2023-01-29,Tamu,20
2023-01-30,Falam,5
2023-01-30,Kawthoung,10
2023-01-30,Kengtung,66
2023-01-30,Laukkaing,20
2023-01-30,Maungdaw,3
2023-01-30,Muse,8
2023-01-30,Myawaddy,1542
2023-01-30,Myeik,10
2023-01-30,Myitkyina,2
2023-01-30,Sittwe,9
2023-01-30,Tachileik,1196
2023-01-30,Tamu,13
2023-01-31,Falam,4
2023-01-31,Hakha,1
2023-01-31,Kawthoung,9
2023-01-31,Kengtung,31
2023-01-31,Maungdaw,2
2023-01-31,Muse,14
2023-01-31,Myawaddy,1374
2023-01-31,Myeik,6
2023-01-31,Myitkyina,3
2023-01-31,Sittwe,5
2023-01-31,Tachileik,1058
2023-01-31,Tamu,13
2023-02-01,Falam,5
2023-02-01,Kawthoung,8
2023-02-01,Kengtung,26
2023-02-01,Maungdaw,2
2023-02-01,Muse,23
2023-02-01,Myawaddy,1302
2023-02-01,Myeik,9
2023-02-01,Myitkyina,9
2023-02-01,Sittwe,8
2023-02-01,Tachileik,1035
2023-02-01,Tamu,13
2023-02-02,Falam,7
2023-02-02,Hakha,1
2023-02-02,Kawthoung,9
2023-02-02,Kengtung,25
2023-02-02,Laukkaing,7
2023-02-02,Maungdaw,2
2023-02-02,Muse,38
2023-02-02,Myawaddy,1331
2023-02-02,Myeik,10
2023-02-02,Sittwe,18
2023-02-02,Tachileik,1007
2023-02-02,Tamu,11
2023-02-03,Falam,5
2023-02-03,Kawthoung,15
2023-02-03,Kengtung,30
2023-02-03,Laukkaing,1
2023-02-03,Maungdaw,3
2023-02-03,Muse,16
2023-02-03,Myawaddy,1376
2023-02-03,Myeik,13
2023-02-03,Sittwe,5
2023-02-03,Tachileik,1192
2023-02-03,Tamu,16
2023-02-04,Falam,4
2023-02-04,Kawthoung,10
2023-02-04,Kengtung,17
2023-02-04,Maungdaw,2
2023-02-04,Muse,17
2023-02-04,Myawaddy,1431
2023-02-04,Myeik,9
2023-02-04,Myitkyina,11
